SEVER'S DATA

Median Test MSE:
eps    uncorrupted  l2      loss    gradientCentered  RANSAC  Sever   RGD         SeverRGD  
0.000       0.0127  0.0127  0.0127            0.0127  0.0127  0.0127      0.0127      0.0127
0.010       0.9327  0.0129  0.9490            0.0130  1.2776  0.0129      0.0131      0.0131
0.020       1.0341  0.0112  1.0167            1.0121  1.1711  0.0111      0.0119      0.0120
0.030       1.1508  0.0107  1.2262            1.2097  1.4273  0.0113      0.0116      0.0127
0.040       1.0660  0.0096  1.0104            1.0201  1.1107  0.0095      0.0096      0.0100
0.050       0.8968  0.0121  0.9359            0.9351  1.1189  0.0117      0.0121      0.0140
0.060       0.9358  0.0117  0.9345            0.9236  0.9703  0.0115      0.0116      0.0124
0.070       0.8492  0.0119  0.9147            0.8836  1.0246  0.0116      0.0136      0.0145
0.080       0.9750  0.0121  1.1319            1.1277  1.2052  0.0127      0.0135      0.0159
0.090       1.0704  1.1397  1.2065            1.2199  1.2576  0.0093      0.0113      0.0127
0.100       0.8786  0.9280  1.0203            1.0185  1.1163  0.0120      0.0137      0.0150
0.250       1.0199  1.5181  1.3704            1.3621  1.4567  0.0119      0.0132      0.0182
0.500       0.9508  1.3128  1.3291            1.3138  0.9500  1.3138  1.4748e+37  1.4092e+37

Median Parameter Error (‖ŵ - w★‖₂):
eps    uncorrupted  l2      loss    gradientCentered  RANSAC  Sever   RGD         SeverRGD  
0.000       0.0344  0.0344  0.0344            0.0344  0.0344  0.0344      0.0344      0.0344
0.010       1.0085  0.0341  1.0225            0.0348  1.0867  0.0343      0.0375      0.0392
0.020       1.0213  0.0336  1.0421            1.0397  1.0975  0.0345      0.0379      0.0418
0.030       1.0283  0.0326  1.0626            1.0598  1.1127  0.0341      0.0404      0.0459
0.040       0.9812  0.0341  1.0229            1.0199  1.0659  0.0354      0.0433      0.0491
0.050       0.9997  0.0331  1.0429            1.0431  1.0845  0.0354      0.0451      0.0529
0.060       0.9842  0.0335  1.0443            1.0407  1.0637  0.0358      0.0458      0.0565
0.070       0.9878  0.0352  1.0491            1.0504  1.0748  0.0376      0.0479      0.0589
0.080       1.0196  0.0369  1.0886            1.0906  1.1204  0.0396      0.0497      0.0630
0.090       1.0245  1.0440  1.1035            1.1035  1.1227  0.0383      0.0513      0.0641
0.100       0.9778  1.0041  1.0636            1.0649  1.0805  0.0368      0.0491      0.0646
0.250       1.0104  1.2439  1.1615            1.1625  1.1674  0.0431      0.0593      0.0969
0.500       0.9928  1.1800  1.1807            1.1801  0.9921  1.1802  4.0142e+18   3.9167e+18

RGD's DATA:

Median Test MSE:
eps    uncorrupted  l2      loss      gradientCentered  RANSAC    Sever     RGD      SeverRGD  
0.000       0.0138  0.0138    0.0138            0.0138    0.0138    0.0138   0.0138    0.0138  
0.010      61.3077  0.0117   64.7275            0.0119   19.1137    0.0116   0.0122    0.0131  
0.020     118.7966  0.0109  119.6077            0.0114   27.9716    0.0110   0.0116    0.0124  
0.030     174.0216  0.0099  173.2523            0.0097   61.2574    0.0118   0.0103    0.0121  
0.040     268.7753  0.0141  272.3642            0.0149   94.5670    0.0141   0.0153    0.0179  
0.050     296.1034  0.0141  295.7747            0.0139  128.6085    0.1057   0.0171    0.0189  
0.060     331.6001  0.0121  336.9072            0.0127  112.1585    0.0130   0.0163    0.0213  
0.070     371.6665  0.0120  360.1518            0.0128  145.3692    0.0538   0.0151    0.0226  
0.080     408.3129  0.0127  428.8432            0.0128  182.9381    0.0393   0.0152    0.0231  
0.090     440.4467  0.0156  444.0772            0.0163  192.1148    0.0353   0.0171    0.0277  
0.100     484.1813  0.0114  489.3572            0.0127  214.0527    0.0748   0.0160    0.0310  
0.250     499.7160  0.0150  499.7370            0.0225  499.7370    1.0899   0.0288   12.9807  
0.500     523.7999  0.0671  523.8046          129.2801  523.8046  434.9654  19.3144  425.9304         

Median Parameter Error (‖ŵ - w★‖₂):
eps    uncorrupted  l2      loss     gradientCentered  RANSAC   Sever    RGD     SeverRGD  
0.000       0.0420  0.0420   0.0420            0.0420   0.0420   0.0420  0.0420    0.0420  
0.010       7.7188  0.0421   7.7792            0.0447   4.3267   0.0423  0.0483    0.0526  
0.020      10.7001  0.0446  10.8364            0.0465   6.1947   0.0448  0.0543    0.0623  
0.030      13.7435  0.0455  13.9428            0.0482   8.2905   0.0485  0.0576    0.0705  
0.040      15.0107  0.0459  15.2336            0.0515   9.7415   0.0466  0.0630    0.0838  
0.050      16.7288  0.0462  16.9804            0.0508  11.2989   0.2594  0.0667    0.0908  
0.060      17.2560  0.0491  17.5362            0.0559  11.0199   0.0510  0.0730    0.1044  
0.070      19.2959  0.0471  19.4965            0.0567  12.2516   0.2171  0.0732    0.1169  
0.080      20.4208  0.0500  20.6789            0.0588  13.5691   0.1949  0.0764    0.1222  
0.090      21.4543  0.0508  21.6189            0.0608  14.9328   0.1537  0.0794    0.1400  
0.100      22.2249  0.0497  22.2898            0.0596  15.5788   0.2750  0.0824    0.1482  
0.250      22.3602  0.0830  22.3607            0.1183  22.3607   1.0974  0.1459    3.3305  
0.500      22.3606  0.2040  22.3607           11.4216  22.3607  20.1955  4.3884   20.0598  
